signal_family,index,theoretical_activity_factor,empirical_activity_factor,absolute_error
A,0,0.500000,0.505251,0.005251
A,1,0.500000,0.501950,0.001950
A,2,0.500000,0.502950,0.002950
A,3,0.500000,0.497750,0.002250
A,4,0.500000,0.493149,0.006851
A,5,0.500000,0.497850,0.002150
A,6,0.500000,0.499350,0.000650
A,7,0.500000,0.493749,0.006251
A,8,0.500000,0.500450,0.000450
A,9,0.500000,0.494849,0.005151
A,10,0.500000,0.499050,0.000950
A,11,0.500000,0.506451,0.006451
A,12,0.500000,0.495350,0.004650
A,13,0.500000,0.503650,0.003650
A,14,0.500000,0.491249,0.008751
A,15,0.500000,0.502650,0.002650
B,0,0.500000,0.503950,0.003950
B,1,0.500000,0.500650,0.000650
B,2,0.500000,0.496650,0.003350
B,3,0.500000,0.501450,0.001450
B,4,0.500000,0.498550,0.001450
B,5,0.500000,0.497650,0.002350
B,6,0.500000,0.503150,0.003150
B,7,0.500000,0.504050,0.004050
B,8,0.500000,0.496150,0.003850
B,9,0.500000,0.490449,0.009551
B,10,0.500000,0.500250,0.000250
B,11,0.500000,0.498350,0.001650
B,12,0.500000,0.502150,0.002150
B,13,0.500000,0.492849,0.007151
B,14,0.500000,0.499850,0.000150
B,15,0.500000,0.495650,0.004350
Sum,0,0.500000,0.504050,0.004050
Sum,1,0.500000,0.502750,0.002750
Sum,2,0.500000,0.499250,0.000750
Sum,3,0.500000,0.487249,0.012751
Sum,4,0.500000,0.489249,0.010751
Sum,5,0.500000,0.498250,0.001750
Sum,6,0.500000,0.497250,0.002750
Sum,7,0.500000,0.503250,0.003250
Sum,8,0.500000,0.500850,0.000850
Sum,9,0.500000,0.501950,0.001950
Sum,10,0.500000,0.499150,0.000850
Sum,11,0.500000,0.501550,0.001550
Sum,12,0.500000,0.494849,0.005151
Sum,13,0.500000,0.493649,0.006351
Sum,14,0.500000,0.496650,0.003350
Sum,15,0.500000,0.497450,0.002550
Carry,Cin,0.500000,0.498350,0.001650
Carry,C1,0.500000,0.505451,0.005451
Carry,C2,0.500000,0.499550,0.000450
Carry,C3,0.500000,0.495950,0.004050
Carry,C4,0.500000,0.495250,0.004750
Carry,C5,0.500000,0.489849,0.010151
Carry,C6,0.500000,0.496250,0.003750
Carry,C7,0.500000,0.500750,0.000750
Carry,C8,0.500000,0.501750,0.001750
Carry,C9,0.500000,0.503750,0.003750
Carry,C10,0.500000,0.491149,0.008851
Carry,C11,0.500000,0.500850,0.000850
Carry,C12,0.500000,0.505651,0.005651
Carry,C13,0.500000,0.494449,0.005551
Carry,C14,0.500000,0.495050,0.004950
Carry,C15,0.500000,0.496850,0.003150
Carry,C16,0.500000,0.496650,0.003350
