sample_idx,time_ns,A_hex,B_hex,Cin,Sum_hex,Cout,Expected_total_hex,Match
0,2000,61f7,93e9,0,f5e0,0,0f5e0,1
1,12000,548c,fcd2,1,515f,1,1515f,1
2,22000,c04e,9785,0,57d3,1,157d3,1
3,32000,67b9,068a,1,6e44,0,06e44,1
4,42000,c8de,2bd6,0,f4b4,0,0f4b4,1
5,52000,9322,0e17,1,a13a,0,0a13a,1
6,62000,2096,2f52,1,4fe9,0,04fe9,1
7,72000,81a3,d86b,0,5a0e,1,15a0e,1
8,82000,6836,c1c5,0,29fb,1,129fb,1
9,92000,9070,a123,1,3194,1,13194,1
10,102000,946c,5b57,0,efc3,0,0efc3,1
11,112000,91d7,aef9,1,40d1,1,140d1,1
12,122000,926b,092c,1,9b98,0,09b98,1
13,132000,dfc6,9169,1,7130,1,17130,1
14,142000,559d,24f4,1,7a92,0,07a92,1
15,152000,1620,80af,0,96cf,0,096cf,1
16,162000,b002,2047,0,d049,0,0d049,1
17,172000,be12,4d50,0,0b62,1,10b62,1
18,182000,74cb,ba53,1,2f1f,1,12f1f,1
19,192000,d203,40c6,0,12c9,1,112c9,1
20,202000,48a3,5901,1,a1a5,0,0a1a5,1
21,212000,b650,a722,0,5d72,1,15d72,1
22,222000,a8b0,f92d,0,a1dd,1,1a1dd,1
23,232000,68f0,751a,0,de0a,0,0de0a,1
24,242000,c8c0,74a2,1,3d63,1,13d63,1
25,252000,f165,e700,1,d866,1,1d866,1
26,262000,4401,f4e9,1,38eb,1,138eb,1
27,272000,07ec,cd56,1,d543,0,0d543,1
28,282000,9eb3,085f,1,a713,0,0a713,1
29,292000,cd8d,9a67,0,67f4,1,167f4,1
30,302000,1a1d,fb37,1,1555,1,11555,1
31,312000,9a1f,0eef,0,a90e,0,0a90e,1
32,322000,b770,c921,1,8092,1,18092,1
33,332000,0a87,0daa,1,1832,0,01832,1
34,342000,a059,0933,0,a98c,0,0a98c,1
35,352000,5518,55cf,1,aae8,0,0aae8,1
36,362000,2003,32a0,0,52a3,0,052a3,1
37,372000,60d6,9e72,0,ff48,0,0ff48,1
38,382000,8d80,bb8f,0,490f,1,1490f,1
39,392000,2d11,7974,1,a686,0,0a686,1
40,402000,4d95,45e3,1,9379,0,09379,1
41,412000,a481,7a55,1,1ed7,1,11ed7,1
42,422000,0f18,b035,1,bf4e,0,0bf4e,1
43,432000,7072,c550,1,35c3,1,135c3,1
44,442000,d915,64d8,0,3ded,1,13ded,1
45,452000,b73e,de2d,0,956b,1,1956b,1
46,462000,e1f4,ce73,0,b067,1,1b067,1
47,472000,5f16,e5fa,1,4511,1,14511,1
48,482000,fbe9,d20f,0,cdf8,1,1cdf8,1
49,492000,0dde,09a8,1,1787,0,01787,1
50,502000,678c,7ad7,1,e264,0,0e264,1
51,512000,b738,0e4b,1,c584,0,0c584,1
52,522000,d6a9,1b22,1,f1cc,0,0f1cc,1
53,532000,bba8,884d,1,43f6,1,143f6,1
54,542000,b9ea,0622,0,c00c,0,0c00c,1
55,552000,1507,f9e8,1,0ef0,1,10ef0,1
56,562000,6727,9710,0,fe37,0,0fe37,1
57,572000,7728,94c1,1,0bea,1,10bea,1
58,582000,c1b9,cfdd,0,9196,1,19196,1
59,592000,7488,5669,1,caf2,0,0caf2,1
60,602000,a992,54fb,1,fe8e,0,0fe8e,1
61,612000,ea35,4165,0,2b9a,1,12b9a,1
62,622000,8767,d5f7,0,5d5e,1,15d5e,1
63,632000,9905,5a66,1,f36c,0,0f36c,1
64,642000,816a,e83b,0,69a5,1,169a5,1
65,652000,4eb4,98e1,1,e796,0,0e796,1
66,662000,47a7,5d33,0,a4da,0,0a4da,1
67,672000,e171,0ad2,1,ec44,0,0ec44,1
68,682000,5f74,d193,0,3107,1,13107,1
69,692000,52db,c405,0,16e0,1,116e0,1
70,702000,683b,f288,0,5ac3,1,15ac3,1
71,712000,b9f3,724d,0,2c40,1,12c40,1
72,722000,b535,d014,1,854a,1,1854a,1
73,732000,3049,dc1d,1,0c67,1,10c67,1
74,742000,0b21,4102,1,4c24,0,04c24,1
75,752000,3711,2c2c,1,633e,0,0633e,1
76,762000,0a43,ceb6,0,d8f9,0,0d8f9,1
77,772000,254e,06ef,0,2c3d,0,02c3d,1
78,782000,7926,84ad,1,fdd4,0,0fdd4,1
79,792000,d221,38f1,0,0b12,1,10b12,1
80,802000,bc93,ad05,0,6998,1,16998,1
81,812000,3113,caec,1,fc00,0,0fc00,1
82,822000,b4fc,7e8c,0,3388,1,13388,1
83,832000,43cf,65c9,1,a999,0,0a999,1
84,842000,7219,8ef3,0,010c,1,1010c,1
85,852000,33dd,a0cb,1,d4a9,0,0d4a9,1
86,862000,cac3,486d,0,1330,1,11330,1
87,872000,cd88,da81,1,a80a,1,1a80a,1
88,882000,c26c,fcca,1,bf37,1,1bf37,1
89,892000,8081,8853,1,08d5,1,108d5,1
90,902000,cecf,ab2d,1,79fd,1,179fd,1
91,912000,3556,8d9f,1,c2f6,0,0c2f6,1
92,922000,e2fc,89d5,0,6cd1,1,16cd1,1
93,932000,e7d7,9bd6,0,83ad,1,183ad,1
94,942000,faf3,8e05,0,88f8,1,188f8,1
95,952000,d0b1,6154,1,3206,1,13206,1
96,962000,84dd,2a1c,0,aef9,0,0aef9,1
97,972000,4f84,93d9,1,e35e,0,0e35e,1
98,982000,490a,c60f,1,0f1a,1,10f1a,1
99,992000,552c,4417,1,9944,0,09944,1
100,1002000,5e9f,699a,1,c83a,0,0c83a,1
